contract,bug_type,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
2018-13198,IntegerBug,213,169,390,238,89,823,265,95,1181,496,401,248,424,401,97,356,175,251,60,47,469,1343,886,1000,206,713,1261,291,290,279,309,421,239,2187,236,397,198,429,1276,1275
2018-13200,IntegerBug,19,27,55,10,31,23,20,41,21,19,19,23,19,19,19,25,20,20,29,50,23,80,22,19,25,21,15,19,17,29,31,13,28,58,18,13,25,62,19,13
2018-13201,IntegerBug,15,9,17,21,11,9,24,13,15,14,22,3,3,21,2,3,20,7,14,11,25,18,3,17,20,17,3,15,12,7,24,3,9,24,9,19,3,2,104,11
2018-13202,IntegerBug,26,13,13,20,13,13,21,28,4,12,23,4,17,17,3,4,31,3,23,137,14,25,22,16,20,28,29,25,3,30,19,24,14,156,22,15,24,22,15,7
2018-13204,IntegerBug,23,28,72,26,4,90,18,22,15,4,26,26,23,37,64,4,32,3,31,51,4,27,4,69,17,4,25,4,90,28,19,9,20,25,25,23,13,80,60,26
2018-13206,IntegerBug,13,29,5,5,23,33,33,26,30,24,5,28,29,5,4,21,26,35,16,18,37,36,26,211,17,34,30,5,5,16,15,24,41,4,33,17,30,30,33,5
2018-13207,IntegerBug,20,27,60,29,19,25,19,28,22,18,99,21,103,19,7,31,27,25,4,31,29,102,4,29,17,83,26,4,126,13,21,87,3,34,33,4,28,28,22,16
2018-13208,IntegerBug,18,23,32,66,26,35,33,30,23,21,58,24,21,47,30,14,22,29,25,33,24,26,38,19,28,130,25,28,9,20,20,29,84,67,69,29,4,65,18,123
2018-13209,IntegerBug,3,33,12,4,63,126,94,27,103,22,24,25,30,20,15,21,23,29,81,20,3,45,30,29,21,47,25,84,4,24,26,11,22,23,21,27,24,22,24,14
2018-13212,IntegerBug,109,79,28,33,30,18,26,27,86,26,18,111,129,28,126,131,14,71,142,3,33,115,151,27,27,20,21,27,128,71,14,28,13,30,20,4,86,29,31,65
2018-13213,IntegerBug,34,17,41,39,41,8,22,20,8,38,44,44,43,45,39,81,44,37,141,113,8,41,21,38,8,40,45,33,62,41,38,19,39,47,43,43,40,22,36,45
2018-13218,IntegerBug,42,24,27,19,29,20,26,30,21,21,164,25,27,121,101,23,78,21,28,28,28,32,3,98,9,3,19,33,15,66,136,20,36,32,61,32,4,211,28,21
2018-13219,IntegerBug,103,261,92,156,289,523,59,690,105,87,97,30,241,137,97,271,96,178,95,282,15,127,98,270,100,91,307,130,497,96,24,480,192,169,317,187,306,70,94,259
2018-13220,IntegerBug,2,10,18,3,3,19,3,3,13,19,99,2,21,18,20,3,20,75,10,2,71,4,21,16,31,13,6,18,3,12,3,22,3,79,3,22,76,32,19,12
2018-13221,IntegerBug,17,20,94,27,75,93,18,85,25,3,9,29,18,91,20,74,16,30,24,22,29,109,20,64,14,19,31,13,28,24,71,116,24,22,42,27,85,23,85,28
2018-13222,IntegerBug,25,20,15,16,47,30,21,15,3,25,20,3,25,11,4,16,51,17,16,13,41,29,3,24,15,3,3,10,20,19,40,19,11,75,3,31,25,22,16,18
2018-13223,IntegerBug,31,12,3,3,3,3,10,19,18,25,22,13,22,12,24,20,2,2,12,27,14,19,11,76,2,18,17,4,12,24,13,25,17,19,20,12,16,23,25,20
2018-13225,IntegerBug,3,3,18,22,3,3,4,4,13,14,4,23,18,4,4,17,3,24,4,4,4,22,15,19,4,3,3,14,15,4,26,32,19,20,3,21,14,16,4,29
2018-13227,IntegerBug,20,19,21,22,62,3,26,19,129,30,67,4,29,116,26,75,17,19,28,30,33,34,64,4,82,18,14,26,51,18,21,53,23,53,22,19,19,91,28,48
2018-13228,IntegerBug,14,20,28,26,42,26,83,65,31,20,32,26,101,25,53,30,29,4,80,58,19,131,24,4,22,23,21,17,55,30,22,75,20,19,21,28,29,63,23,32
2018-13229,IntegerBug,28,32,65,85,25,26,29,33,23,17,34,107,13,23,20,4,23,145,107,15,29,105,29,128,19,20,26,23,28,15,21,76,26,35,21,70,4,25,4,22
2018-13230,IntegerBug,25,16,85,31,31,21,81,4,71,27,19,4,99,20,13,25,28,3,112,4,17,14,78,28,15,23,25,30,25,13,66,27,34,25,23,24,27,25,4,28
2018-13231,IntegerBug,95,26,104,84,4,103,115,13,19,3,89,25,3,116,162,15,96,123,53,21,21,32,34,24,35,22,15,29,31,14,26,34,20,19,32,14,42,21,29,18
2018-13232,IntegerBug,19,98,22,12,25,26,26,37,25,22,24,23,3,70,8,43,24,47,57,90,42,30,56,38,34,22,30,34,18,26,18,105,23,66,3,17,28,30,21,96
2018-13325,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13327,IntegerBug,38,27,176,124,52,450,62,122,178,61,127,53,31,37,212,144,23,114,36,70,28,459,232,26,112,28,35,66,33,26,42,21,33,37,25,309,N/A,24,21,94
2018-13472,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13477,IntegerBug,16,25,15,31,6,17,30,21,14,25,26,10,32,26,15,36,22,11,55,18,13,9,26,16,14,36,16,14,26,22,22,16,18,40,35,15,32,18,23,25
2018-13493,IntegerBug,17,13,15,5,14,17,14,9,19,9,24,18,6,15,13,16,18,11,4,14,15,16,17,10,18,15,3,17,18,15,16,4,10,16,18,9,17,22,5,6
2018-13509,IntegerBug,24,17,11,8,11,9,9,4,11,12,16,11,15,21,33,53,10,14,8,10,13,18,12,15,11,10,12,11,11,8,6,11,11,36,11,10,12,10,11,11
2018-13527,IntegerBug,7,4,25,20,5,4,20,8,5,6,15,5,7,7,10,13,5,9,4,8,20,5,20,8,7,13,6,4,11,4,14,11,7,4,24,7,5,19,20,23
2018-13533,IntegerBug,3,3,5,10,4,2,15,7,13,10,10,16,9,9,17,13,14,7,22,4,10,13,10,13,13,9,4,10,13,7,12,11,9,9,4,7,5,4,11,7
2018-13534,IntegerBug,10,17,20,11,29,12,9,13,8,13,19,13,4,10,15,21,4,9,13,15,14,10,24,22,13,33,13,12,13,13,18,8,14,23,40,3,16,14,13,30
2018-13539,IntegerBug,21,10,19,22,9,10,11,20,19,19,10,21,8,7,18,14,6,3,8,21,3,6,26,9,10,10,3,18,9,31,3,11,10,19,5,17,11,26,9,12
2018-13555,IntegerBug,6,6,5,7,5,5,6,6,6,6,6,6,5,5,6,7,7,5,4,6,8,6,6,16,8,21,5,4,6,18,4,6,6,7,6,15,5,6,18,7
2018-13616,IntegerBug,4,4,4,19,6,19,4,16,20,26,16,4,12,20,20,24,8,25,5,20,16,4,10,5,9,6,22,5,5,20,4,5,10,6,8,4,5,18,6,16
2018-13625,IntegerBug,86,30,132,47,37,40,105,21,103,103,21,58,28,69,51,99,53,24,58,50,99,93,20,98,47,57,38,60,64,104,46,268,61,55,14,45,50,35,77,44
2018-13663,IntegerBug,13,11,16,13,21,10,11,16,38,28,30,25,14,21,41,14,13,24,21,24,7,12,12,19,24,9,7,8,15,6,31,24,19,17,12,18,4,22,23,16
2018-13697,IntegerBug,32,141,16,30,54,55,21,82,16,14,34,66,33,73,31,39,46,80,15,27,27,56,36,42,52,66,55,25,31,87,30,26,28,18,30,44,45,67,21,17
2018-13705,IntegerBug,16,38,15,34,28,34,31,19,20,35,25,37,24,42,27,30,49,34,32,20,44,12,34,24,19,16,34,46,17,43,48,15,51,48,44,38,38,31,22,19
2018-13722,IntegerBug,250,188,319,213,40,1889,381,11,2730,744,38,317,49,1255,334,21,2054,201,373,1642,40,40,42,39,213,309,423,1765,354,30,16,12,373,280,174,197,662,42,330,29
2018-13729,IntegerBug,15,14,12,12,23,4,28,12,5,4,22,11,20,17,22,20,6,13,9,16,19,5,6,12,20,5,21,4,4,18,4,6,6,6,6,7,20,11,8,5
2018-13738,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13773,IntegerBug,11,7,8,16,5,27,8,8,29,24,8,8,10,7,9,13,8,44,8,7,7,14,7,26,30,8,8,18,7,9,8,8,32,28,34,7,9,5,31,17
2018-14004,IntegerBug,22,22,15,19,50,33,22,42,32,27,17,16,26,16,28,20,22,68,58,20,24,19,26,27,125,35,47,33,51,97,61,23,30,21,23,23,64,28,67,16
2018-14084,IntegerBug,31,86,4,41,25,33,36,5,26,34,20,99,34,24,34,35,138,27,24,90,28,39,4,38,40,35,5,20,76,26,153,5,21,33,16,19,75,36,27,18
2018-14086,IntegerBug,10,12,9,13,3,14,18,10,4,13,18,8,10,15,15,18,19,14,2,10,3,16,3,4,15,29,11,12,18,15,16,12,19,17,18,18,16,3,17,3
2018-14087,IntegerBug,120,32,55,31,188,28,28,23,29,22,70,112,204,81,186,25,13,25,32,96,384,66,4,111,32,88,34,4,106,101,3,72,130,29,25,181,29,104,28,4
2018-14088,IntegerBug,6,1,1,2,2,4,5,4,2,5,2,4,2,2,4,8,4,2,3,2,5,5,4,4,2,2,2,4,4,3,2,2,2,2,5,2,2,2,3,2
2018-14089,IntegerBug,43,99,41,36,63,72,93,79,47,22,34,52,62,37,39,76,75,50,58,114,82,44,38,32,49,36,42,48,15,51,154,90,43,131,86,54,83,39,125,120
2018-14576,IntegerBug,124,33,38,37,65,109,72,92,77,55,36,136,99,20,46,141,115,63,45,35,112,35,39,103,59,45,121,125,31,32,115,85,104,56,33,44,41,59,34,36
2018-18667,IntegerBug,21,36,25,22,34,37,40,38,44,26,62,16,40,36,41,56,28,27,31,38,15,30,55,36,33,42,40,49,22,32,38,53,37,31,47,32,40,28,40,28
