contract,bug_type,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
2018-13204,IntegerBug,17,21,3,84,39,4,3,21,27,43,43,24,32,22,22,4,67,21,21,22,10,20,4,64,63,49,15,4,17,24,16,28,3,49,63,23,36,22,12,26
2018-13206,IntegerBug,28,27,4,25,4,20,18,5,5,23,19,29,5,16,24,5,18,79,5,4,16,19,27,27,29,26,4,5,28,30,97,34,30,28,19,5,5,34,5,27
2018-13207,IntegerBug,32,23,19,15,4,56,25,39,26,45,13,20,6,24,53,43,27,35,19,13,45,58,24,22,53,26,27,24,4,23,72,18,3,18,48,24,15,4,4,22
2018-13208,IntegerBug,4,70,42,65,32,19,25,13,55,28,19,42,23,43,85,24,69,13,51,66,25,124,22,14,31,32,41,56,28,23,22,20,24,98,61,60,10,60,34,60
2018-13209,IntegerBug,35,57,70,81,44,13,26,14,26,56,20,21,67,14,36,30,64,4,25,104,23,61,56,24,48,25,25,25,64,97,88,54,16,20,44,23,51,133,4,21
2018-13212,IntegerBug,81,13,52,50,59,10,69,37,54,110,61,50,21,184,44,22,61,109,58,110,14,83,53,45,78,48,70,22,84,89,36,118,111,44,53,72,50,44,48,59
2018-13213,IntegerBug,29,30,31,18,7,30,38,35,35,8,35,19,31,8,35,39,38,19,7,8,31,31,31,8,8,9,19,8,7,21,8,33,29,35,36,37,9,32,28,21
2018-13218,IntegerBug,28,24,27,52,55,60,69,54,22,13,50,84,13,4,49,9,23,72,45,74,77,36,73,21,75,56,25,26,14,96,19,80,27,15,45,22,41,52,71,53
2018-13219,IntegerBug,40,32,272,196,134,76,144,174,97,143,73,144,207,1050,94,187,30,108,80,66,104,279,112,196,268,327,187,638,90,248,131,558,128,100,136,228,407,437,110,229
2018-13220,IntegerBug,17,11,13,11,9,11,33,24,19,23,21,19,22,18,9,13,40,20,27,3,3,16,13,34,13,10,21,5,12,3,3,3,10,15,13,25,38,20,18,11
2018-13221,IntegerBug,56,14,24,62,53,57,65,24,38,41,49,21,78,51,62,66,77,33,41,3,85,31,3,70,24,68,24,132,93,33,31,70,25,45,40,61,32,30,56,78
2018-13222,IntegerBug,9,2,2,9,23,2,40,3,18,3,3,20,2,11,6,21,12,18,66,36,3,10,18,3,3,18,3,14,3,22,3,21,16,2,16,12,10,3,25,3
2018-13223,IntegerBug,3,20,3,13,25,3,28,3,17,4,19,2,24,18,63,9,15,21,36,21,23,23,15,13,29,58,17,52,19,32,3,21,18,13,17,18,12,12,16,30
2018-13225,IntegerBug,17,43,30,3,27,3,4,15,4,96,41,21,4,13,23,30,18,24,34,4,13,54,20,23,20,25,30,28,29,3,20,28,26,20,19,3,39,27,19,12
2018-13227,IntegerBug,73,25,87,87,87,71,48,33,61,14,96,13,26,41,66,27,95,23,10,100,4,61,79,25,43,54,74,25,96,57,47,46,50,52,28,66,50,56,45,41
2018-13228,IntegerBug,80,47,54,52,27,62,3,66,20,13,86,23,71,57,20,40,32,65,53,51,22,61,59,63,144,54,65,26,21,54,14,79,81,101,23,17,36,88,47,75
2018-13229,IntegerBug,39,121,35,32,56,64,30,5,85,78,48,100,75,39,35,28,87,23,21,21,3,22,38,56,37,52,26,35,53,44,18,75,97,23,66,71,27,13,79,20
2018-13230,IntegerBug,53,25,14,55,23,41,41,45,39,102,47,30,4,13,4,25,27,26,81,3,24,28,6,21,21,9,20,67,21,25,4,67,69,37,27,22,60,30,20,69
2018-13231,IntegerBug,20,28,12,27,24,23,24,27,11,56,46,14,21,36,75,78,22,64,66,56,49,53,19,90,49,47,32,9,27,2,59,28,42,49,45,25,21,54,24,86
2018-13232,IntegerBug,23,14,18,35,40,53,90,45,28,71,73,41,20,43,23,51,22,56,78,68,66,71,21,66,23,102,70,66,113,12,46,27,56,27,24,16,20,21,45,14
2018-13325,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13327,IntegerBug,268,79,543,329,844,654,680,312,301,146,991,235,1581,2629,923,1900,608,719,284,255,194,518,1655,248,4183,234,988,126,133,459,370,1757,212,2764,35,368,246,355,428,151
2018-13472,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13477,IntegerBug,18,18,22,6,20,34,21,26,21,21,9,7,12,36,25,24,24,23,28,24,47,27,51,22,22,32,45,22,24,45,32,26,35,33,8,52,16,33,21,7
2018-13493,IntegerBug,17,3,16,5,18,17,19,9,22,15,6,5,15,9,17,18,15,5,16,15,4,17,20,19,17,5,19,17,5,4,15,6,18,13,15,18,16,18,16,4
2018-13509,IntegerBug,9,12,9,11,11,8,18,20,10,13,40,28,32,11,8,19,18,21,18,9,10,36,19,37,10,10,12,10,11,20,9,11,10,10,20,11,16,12,9,9
2018-13527,IntegerBug,5,3,5,4,5,14,5,5,5,4,4,5,4,13,4,5,4,4,5,14,5,5,4,5,5,5,5,4,5,5,5,14,4,6,14,4,5,5,5,20
2018-13533,IntegerBug,7,4,15,17,15,10,8,8,8,3,3,11,10,3,18,4,12,10,4,8,12,13,6,12,6,11,11,9,11,19,5,11,4,6,10,16,6,7,11,3
2018-13534,IntegerBug,10,35,9,43,16,11,14,14,21,19,17,12,6,43,20,20,19,35,14,14,10,14,20,40,15,32,41,12,12,14,14,10,12,12,48,41,35,19,10,12
2018-13539,IntegerBug,17,7,10,11,10,6,21,25,20,10,9,9,11,17,8,8,5,9,9,9,16,49,17,16,21,14,6,6,17,18,9,12,7,10,4,17,17,16,33,10
2018-13555,IntegerBug,6,6,6,7,7,5,5,6,7,6,7,6,7,5,5,6,6,16,17,5,5,5,6,7,5,13,6,5,9,5,6,5,7,5,5,22,6,7,7,6
2018-13616,IntegerBug,5,4,4,5,5,6,4,5,5,6,6,15,5,5,5,4,13,4,5,4,4,4,5,4,5,4,5,6,14,5,5,5,5,5,6,14,5,5,12,5
2018-13625,IntegerBug,27,30,26,13,62,22,19,34,18,27,16,63,64,27,58,74,28,24,31,21,28,16,58,19,14,17,64,25,20,20,28,45,74,30,15,22,41,20,29,23
2018-13663,IntegerBug,19,9,14,30,6,10,19,35,25,20,26,17,22,11,18,34,29,39,19,32,57,10,31,24,20,28,10,12,24,21,29,34,29,34,4,20,9,17,15,13
2018-13697,IntegerBug,58,81,71,50,32,108,50,84,49,101,33,88,43,24,30,103,86,52,53,41,27,14,93,49,108,99,49,95,89,142,70,63,94,94,96,41,77,49,25,51
2018-13705,IntegerBug,43,35,20,27,18,41,28,18,20,32,40,56,22,15,17,45,41,28,18,29,13,22,18,17,18,24,33,31,40,27,26,27,51,28,18,48,45,38,18,49
2018-13722,IntegerBug,1759,5474,5062,5847,5020,N/A,N/A,413,N/A,2117,4749,N/A,5180,942,N/A,5684,1560,N/A,1691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3283,452,N/A,2379,N/A,202,N/A,N/A,N/A,5327,1072,3394,4865,3779
2018-13729,IntegerBug,3,3,5,4,4,5,15,5,4,16,5,5,4,4,6,5,4,4,13,4,5,5,5,4,5,5,16,8,5,4,4,4,4,13,5,5,4,20,4,4
2018-13738,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13773,IntegerBug,5,31,6,28,9,8,8,8,10,7,7,56,8,28,8,10,9,27,8,7,16,15,32,7,9,8,7,18,16,37,32,16,30,8,8,15,8,9,8,7
2018-14004,IntegerBug,24,26,35,17,14,19,55,38,18,17,25,30,30,28,26,24,15,18,28,51,18,20,16,23,45,24,21,23,21,26,41,24,19,27,22,18,17,26,18,46
2018-14084,IntegerBug,29,75,82,54,19,68,14,28,44,5,36,36,51,122,20,29,24,5,96,96,33,4,32,37,101,138,86,86,124,44,73,26,146,38,91,4,5,16,284,38
2018-14086,IntegerBug,13,8,10,16,13,6,15,20,3,19,36,15,5,13,2,16,29,3,17,14,27,13,20,21,3,20,13,31,15,3,24,9,19,10,2,24,18,18,3,21
2018-14087,IntegerBug,45,4,204,428,21,781,113,87,85,143,9,24,4,27,4,65,4,23,45,4,23,3,212,205,23,45,58,626,73,168,22,214,62,366,252,45,23,142,39,57
2018-14088,IntegerBug,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018-14089,IntegerBug,56,78,98,82,64,67,83,55,84,50,72,83,80,214,34,51,76,61,76,74,73,101,80,54,80,40,41,52,55,53,117,93,61,51,80,85,69,59,90,47
2018-14576,IntegerBug,29,15,24,6,12,26,7,16,26,5,15,29,221,31,14,27,8,7,27,186,27,30,27,13,8,25,28,14,30,7,29,7,21,24,31,19,31,12,26,7
2018-18667,IntegerBug,33,28,33,29,30,11,36,25,58,22,26,36,51,29,28,39,26,26,35,26,25,31,60,37,31,48,34,31,28,26,35,36,47,30,28,27,26,28,31,25
